dYear,est,ist,imf_by,em,f107,dst
2023.7768264840183,2.1,0.9,0.8,0.427768,146.67902,3.0
2023.7769406392695,0.0,0.0,-0.5,0.729654,146.67902,0.0
2023.7770547945206,-2.1,-0.9,-1.5,0.189768,146.67902,-3.0
2023.7771689497717,-1.4,-0.6,0.1,0.000204,146.67902,-2.0
2023.777283105023,0.0,0.0,-1.9,0.078234,146.67902,0.0
2023.777397260274,-0.7,-0.3,-4.8,0.65679,146.67902,-1.0
2023.7775114155252,-1.4,-0.6,-5.1,0.865959,146.67902,-2.0
2023.7776255707763,0.0,0.0,-4.0,0.691722,146.67902,0.0
2023.7777397260274,1.4,0.6,-4.1,0.92386,146.67902,2.0
2023.7778538812786,2.1,0.9,-3.4,1.020349,146.67902,3.0
2023.7779680365297,2.8,1.2,-3.8,0.635277,146.67902,4.0
2023.7780821917809,3.5,1.5,-3.4,0.493705,147.12346,5.0
2023.778196347032,1.4,0.6,-3.5,0.596263,147.12346,2.0
2023.7783105022831,-0.7,-0.3,-3.8,0.5626,147.12346,-1.0
2023.7784246575343,-0.7,-0.3,-3.6,0.521049,147.12346,-1.0
2023.7785388127854,1.4,0.6,-3.9,0.76649,147.12346,2.0
2023.7786529680366,2.1,0.9,-2.7,0.309211,147.12346,3.0
2023.7787671232877,3.5,1.5,-2.5,0.235963,147.12346,5.0
2023.7788812785388,4.9,2.1,-2.5,0.198486,147.12346,7.0
2023.77899543379,7.0,3.0,-2.5,0.205225,147.12346,10.0
2023.7791095890411,7.0,3.0,-2.3,0.199282,147.12346,10.0
2023.7792237442923,3.5,1.5,-4.0,0.474712,147.12346,5.0
2023.7793378995434,2.8,1.2,-4.3,0.494542,147.12346,4.0
2023.7794520547945,2.8,1.2,-3.9,0.312643,147.12346,4.0
2023.7795662100457,4.2,1.8,-5.1,0.441151,147.12346,6.0
2023.7796803652968,6.3,2.7,-3.4,0.200651,147.12346,9.0
2023.779794520548,7.0,3.0,6.4,0.929576,147.12346,10.0
2023.779908675799,5.6,2.4,6.7,0.90333,147.12346,8.0
2023.7800228310502,7.0,3.0,4.7,0.410181,147.12346,10.0
2023.7801369863014,10.5,4.5,2.2,0.066129,147.12346,15.0
2023.7802511415525,10.5,4.5,-2.6,0.090115,147.12346,15.0
2023.7803652968037,9.8,4.2,-2.5,0.074175,147.12346,14.0
2023.7804794520548,9.8,4.2,-6.8,0.870192,147.12346,14.0
2023.780593607306,9.8,4.2,-7.1,0.826819,147.12346,14.0
2023.780707762557,10.5,4.5,-6.6,0.579504,147.12346,15.0
2023.7808219178082,11.2,4.8,-7.6,0.83765,147.85185,16.0
2023.7809360730594,12.6,5.4,-5.7,0.569736,147.85185,18.0
2023.7810502283105,12.6,5.4,8.3,1.3944,147.85185,18.0
2023.7811643835616,10.5,4.5,2.7,0.831404,147.85185,15.0
2023.7812785388128,5.6,2.4,-7.3,2.674299,147.85185,8.0
